대상물 구분명(참고),대상물명,주소(지번),주소(도로명),주용도명,아파트여부,연면적(㎡),세대수,스프링클러,제연설비,물분무등,관할서,사용승인일,터널여부,등급대상,지상층수,지하층수,자체점검여부
[개황] BK빌딩(구.에덴빌딩),BK빌딩(구.에덴빌딩),서울특별시 강남구 개포동 1236-9,서울특별시 강남구 논현로18길 10-20,복합건축물,N,792.7,,N,N,N,강남소방서,20041101.0,N,3급대상,6,1,Y
[동별] BK빌딩(구.에덴빌딩),에덴빌딩(구.BK빌딩),서울특별시 강남구 개포동 1236-9,서울특별시 강남구 논현로18길 10-20,복합건축물,N,792.7,,N,N,N,강남소방서,20041101.0,N,3급대상,6,1,Y
[개황] 진성빌딩,진성빌딩,서울특별시 강남구 개포동 1212-4,서울특별시 강남구 개포로 252,업무시설,N,1703.85,0.0,N,N,N,강남소방서,20050131.0,N,2급대상,6,2,Y
[동별] 진성빌딩,진성빌딩,서울특별시 강남구 개포동 1212-4,서울특별시 강남구 개포로 252,업무시설,N,1703.85,0.0,N,N,N,강남소방서,20050131.0,N,2급대상,6,2,Y
[개황] 대경빌딩,대경빌딩,서울특별시 강남구 개포동 1198-6,서울특별시 강남구 논현로12길 19-4,복합건축물,N,671.47,,Y,N,N,강남소방서,20041203.0,N,3급대상,4,1,Y
[동별] 대경빌딩,태경빌딩,서울특별시 강남구 개포동 1198-6,서울특별시 강남구 논현로12길 19-4,복합건축물,N,671.47,,Y,N,N,강남소방서,20041203.0,N,3급대상,4,1,Y
[개황] 아원디오빌,아원디오빌,서울특별시 강남구 개포동 1236-4,서울특별시 강남구 논현로18길 10-10,복합건축물,N,1123.76,,N,N,N,강남소방서,20050412.0,N,3급대상,6,1,Y
[동별] 아원디오빌,아원디오빌(포이동오피스텔),서울특별시 강남구 개포동 1236-4,서울특별시 강남구 논현로18길 10-10,복합건축물,N,1123.76,,N,N,N,강남소방서,20050412.0,N,3급대상,6,1,Y
[개황] 센트럴빌딩,센트럴빌딩,서울특별시 강남구 개포동 1184-6,서울특별시 강남구 개포로22길 74,근린생활시설,N,989.89,0.0,N,N,N,강남소방서,20050221.0,N,3급대상,6,1,Y
[동별] 센트럴빌딩,센틀럴빌딩,서울특별시 강남구 개포동 1184-6,서울특별시 강남구 개포로22길 74,근린생활시설,N,989.89,0.0,N,N,N,강남소방서,20050221.0,N,3급대상,6,1,Y
[개황] 주원빌딩,주원빌딩,서울특별시 강남구 개포동 1188,서울특별시 강남구 논현로8길 12,복합건축물,N,1777.81,,N,N,N,강남소방서,20050328.0,N,2급대상,5,1,Y
[동별] 주원빌딩,주원빌딩,서울특별시 강남구 개포동 1188,서울특별시 강남구 논현로8길 12,복합건축물,N,1777.81,,N,N,N,강남소방서,20050328.0,N,2급대상,5,1,Y
[개황] 지수빌딩,지수빌딩,서울특별시 강남구 개포동 1191-4,서울특별시 강남구 논현로 18,근린생활시설,N,1234.88,0.0,N,N,N,강남소방서,20050412.0,N,3급대상,6,1,Y
[동별] 지수빌딩,지수빌딩,서울특별시 강남구 개포동 1191-4,서울특별시 강남구 논현로 18,근린생활시설,N,1234.88,0.0,N,N,N,강남소방서,20050412.0,N,3급대상,6,1,Y
[개황] 충만빌딩,충만빌딩,서울특별시 강남구 개포동 1235-13,서울특별시 강남구 논현로18길 10-17,복합건축물,N,855.29,,N,N,N,강남소방서,20050507.0,N,3급대상,5,1,Y
[동별] 충만빌딩,스타빌딩,서울특별시 강남구 개포동 1235-13,서울특별시 강남구 논현로18길 10-17,복합건축물,N,855.29,,N,N,N,강남소방서,20050507.0,N,3급대상,5,1,Y
[개황] 거호산업사옥,거호산업사옥,서울특별시 강남구 개포동 1237-4,서울특별시 강남구 논현로20길 14,복합건축물,N,877.58,,N,N,N,강남소방서,20050701.0,N,3급대상,6,1,Y
[동별] 거호산업사옥,거호빌딩,서울특별시 강남구 개포동 1237-4,서울특별시 강남구 논현로20길 14,복합건축물,N,877.58,,N,N,N,강남소방서,20050701.0,N,3급대상,6,1,Y
[개황] 우도빌딩,우도빌딩,서울특별시 강남구 개포동 1198-7,서울특별시 강남구 논현로12길 19-6,근린생활시설,N,995.79,0.0,N,N,N,강남소방서,20050513.0,N,3급대상,6,1,Y
[동별] 우도빌딩,1,서울특별시 강남구 개포동 1198-7,서울특별시 강남구 논현로12길 19-6,근린생활시설,N,995.79,0.0,N,N,N,강남소방서,20050513.0,N,3급대상,6,1,Y
[개황] 영재빌딩,영재빌딩,서울특별시 강남구 개포동 1187-2,서울특별시 강남구 논현로10길 16,복합건축물,N,921.71,,N,N,N,강남소방서,20050506.0,N,3급대상,6,1,Y
[동별] 영재빌딩,영재빌딩,서울특별시 강남구 개포동 1187-2,서울특별시 강남구 논현로10길 16,복합건축물,N,921.71,,N,N,N,강남소방서,20050506.0,N,3급대상,6,1,Y
[개황] 네비스빌딩,네비스빌딩,서울특별시 강남구 개포동 1258,서울특별시 강남구 개포로 221,복합건축물,N,1071.24,,N,N,N,강남소방서,20050620.0,N,3급대상,5,1,Y
[동별] 네비스빌딩,네비스빌딩,서울특별시 강남구 개포동 1258,서울특별시 강남구 개포로 221,복합건축물,N,1071.24,,N,N,N,강남소방서,20050620.0,N,3급대상,5,1,Y
[개황] 신승빌딩,신승빌딩,서울특별시 강남구 개포동 1202,서울특별시 강남구 개포로22길 43,복합건축물,N,726.61,,Y,N,N,강남소방서,20050929.0,N,3급대상,3,1,Y
[동별] 신승빌딩,신승빌딩,서울특별시 강남구 개포동 1202,서울특별시 강남구 개포로22길 43,복합건축물,N,726.61,,Y,N,N,강남소방서,20050929.0,N,3급대상,3,1,Y
[개황] 둘둘치킨,둘둘치킨,서울특별시 강남구 개포동 1187,서울특별시 강남구 논현로10길 12,복합건축물,N,870.2,,N,N,N,강남소방서,20051020.0,N,3급대상,5,1,Y
[동별] 둘둘치킨,김신기 건물,서울특별시 강남구 개포동 1187,서울특별시 강남구 논현로10길 12,복합건축물,N,870.2,,N,N,N,강남소방서,20051020.0,N,3급대상,5,1,Y
[개황] 이룸빌딩,이룸빌딩,서울특별시 강남구 개포동 1243-9,서울특별시 강남구 개포로15길 38,복합건축물,N,730.85,,N,N,N,강남소방서,20051102.0,N,3급대상,5,1,Y
[동별] 이룸빌딩,이룸빌딩,서울특별시 강남구 개포동 1243-9,서울특별시 강남구 개포로15길 38,복합건축물,N,730.85,,N,N,N,강남소방서,20051102.0,N,3급대상,5,1,Y
[개황] 개포동공원공영주차장,개포동공원공영주차장,서울특별시 강남구 개포동 183-1,서울특별시 강남구 개포로 509,항공기및자동차관련시설,N,5135.62,0.0,Y,N,N,강남소방서,20110525.0,N,2급대상,1,3,Y
[동별] 개포동공원공영주차장,근린공원 공영주차장,서울특별시 강남구 개포동 183-1,서울특별시 강남구 개포로 509,항공기및자동차관련시설,N,5135.62,0.0,Y,N,N,강남소방서,20060224.0,N,2급대상,1,3,Y
[개황] 우찬현대아파트102동,우찬현대아파트102동,서울특별시 강남구 개포동 1260-4,서울특별시 강남구 개포로31길 9-5,공동주택,Y,1295.7,10.0,N,N,N,강남소방서,20060626.0,N,3급대상,6,1,Y
[동별] 우찬현대아파트102동,우찬현대아파트,서울특별시 강남구 개포동 1260-4,서울특별시 강남구 개포로31길 9-5,공동주택,Y,1295.7,10.0,N,N,N,강남소방서,20060626.0,N,3급대상,6,1,Y
[개황] 우찬현대아파트101동,우찬현대아파트101동,서울특별시 강남구 개포동 1260-11,서울특별시 강남구 개포로31길 3-12,공동주택,Y,1945.64,15.0,N,N,N,강남소방서,20060626.0,N,3급대상,6,1,Y
[동별] 우찬현대아파트101동,우찬현대아파트,서울특별시 강남구 개포동 1260-11,서울특별시 강남구 개포로31길 3-12,공동주택,Y,1945.64,15.0,N,N,N,강남소방서,20060626.0,N,3급대상,6,1,Y
[개황] 개포동 1210-4건물,개포동 1210-4건물,서울특별시 강남구 개포동 1210-4,서울특별시 강남구 개포로36길 14,근린생활시설,N,463.63,0.0,N,N,N,강남소방서,20060608.0,N,3급대상,3,1,Y
[동별] 개포동 1210-4건물,개포동 1210-4건물,서울특별시 강남구 개포동 1210-4,서울특별시 강남구 개포로36길 14,근린생활시설,N,463.63,0.0,N,N,N,강남소방서,20060608.0,N,3급대상,3,1,Y
[개황] 문화빌딩,문화빌딩,서울특별시 강남구 개포동 1239-17,서울특별시 강남구 논현로 98,복합건축물,N,3239.49,,Y,N,Y,강남소방서,20060731.0,N,2급대상,6,1,Y
[동별] 문화빌딩,문화빌딩,서울특별시 강남구 개포동 1239-17,서울특별시 강남구 논현로 98,복합건축물,N,3239.49,,Y,N,Y,강남소방서,20060731.0,N,2급대상,6,1,Y
[개황] 우찬현대아파트(103동),우찬현대아파트(103동),서울특별시 강남구 개포동 1260-2,서울특별시 강남구 개포로31길 9-9,공동주택,Y,1295.7,10.0,N,N,N,강남소방서,20060626.0,N,3급대상,5,1,Y
[동별] 우찬현대아파트(103동),우찬현대아파트,서울특별시 강남구 개포동 1260-2,서울특별시 강남구 개포로31길 9-9,공동주택,Y,1295.7,10.0,N,N,N,강남소방서,20060626.0,N,3급대상,5,1,Y
[개황] 한영빌딩,한영빌딩,서울특별시 강남구 개포동 1259,서울특별시 강남구 개포로 235,복합건축물,N,1374.79,,N,N,N,강남소방서,20060814.0,N,2급대상,6,2,Y
[동별] 한영빌딩,한영빌딩,서울특별시 강남구 개포동 1259,서울특별시 강남구 개포로 235,복합건축물,N,1374.79,,N,N,N,강남소방서,20060814.0,N,2급대상,6,2,Y
[개황] 보성빌딩,보성빌딩,서울특별시 강남구 개포동 1229,서울특별시 강남구 논현로 90,복합건축물,N,1575.6,,N,N,N,강남소방서,20060920.0,N,2급대상,6,2,Y
[동별] 보성빌딩,네비스메디칼 건물,서울특별시 강남구 개포동 1229,서울특별시 강남구 논현로 90,복합건축물,N,1575.6,,N,N,N,강남소방서,20060920.0,N,2급대상,6,2,Y
[개황] 인(IN)빌딩(인터메츠사옥),인(IN)빌딩(인터메츠사옥),서울특별시 강남구 개포동 1191-2,서울특별시 강남구 논현로 22,복합건축물,N,1119.0,0.0,N,N,N,강남소방서,20060921.0,N,3급대상,6,1,Y
[동별] 인(IN)빌딩(인터메츠사옥),인터메츠사옥,서울특별시 강남구 개포동 1191-2,서울특별시 강남구 논현로 22,복합건축물,N,1119.0,0.0,N,N,N,강남소방서,20060921.0,N,3급대상,6,1,Y
[개황] 제일빌딩,제일빌딩,서울특별시 강남구 개포동 1237-18,서울특별시 강남구 논현로18길 11,근린생활시설,N,1185.38,0.0,Y,N,N,강남소방서,20070110.0,N,3급대상,6,1,Y
